song,artist
You've Got the Love I Need,Al Green
Rescue Me,Fontella Bass
Jocko Homo,Devo
Despair And Traffic,Slaves
Once In A Lifetime,Talking Heads
Temazcal ,Monsters of Folk
Boys Keep Swinging,David Bowie
My Girls,Animal Collective
Loves Me Like a Rock,Paul Simon
You Shook Me,Led Zeppelin
Nothing's Wrong,Haim
Say It Loud,I'm Black and I'm Proud
School Day,Chuck Berry
The Glorious Land,PJ Harvey
Minnie the Moocher,Cab Calloway
"Hello, You Beautiful Thing",Jason Mraz
Oh Happy Day,The Edwin Hawkins Singers
Reach a Bit Further,Wild Beasts
My Sweet Lord,George Harrison
Red House,Jimi Hendrix
The Banana Boat Song (Day-O),Harry Belafonte
Mannish Boy,Muddy Waters
What'd I Say,Ray Charles
Bring It On Home To Me,Sam Cooke
I'll Take You There,The Staple Singers
Come And Get Your Love,Redbone
Déjà Vu,Post Malone
My Generation,The Who
Shout,The Isley Brothers
A Girl Like You,Edwyn Collins
The Fighter,Keith Urban
