song,artist
A Time To Buy,Katie Melua
Red-Suited Super Man,Rod Stewart
A Spaceman Came Traveling,Chris de Burgh
Step Into Christmas,Elton John
Christmas Eve,Gwen Stefani
Cold December Night,Michael Bublé
Here Comes Santa Claus,Gene Autry
Mistletoe,Justin Bieber
You're A Mean One Mr. Grinch,Thurl Ravenscroft
Do You Hear What I Hear?,Bing Crosby
Nuttin' For Christmas,Barry Gordon
Different Kind Of Christmas,Mark Schultz
Father Christmas,The Kinks
O Holy Night,Clay Aiken
Christmas In Heaven,Scotty McCreery
Christmas Kissin',The Henningsens
God Rest You Merry Gentlemen,Traditional
Christmas Is Here,Buckcherry
Christmas Island ,Train
Baby It's Christmas,Amy Grant
100 Degrees,Kylie Minogue
Christmas Song,Jethro Tull
Santa Tell Me,Ariana Grande
That's Christmas to Me,Pentatonix
Signs Of Christmas,Arthur Frederick
It Came Upon A Midnight Clear,Josh Groban
All I Want For Christmas Is New Year's Day,Hurts
Feliz Navidad,José Feliciano
Love Is Everything,Ariana Grande
Holly Jolly Christmas,Burl Ives
Christmas In The Sand,Colbie Caillat
Do They Know It's Christmas?,Band Aid
Say All You Want For Christmas,Nick Jonas
Christmas Rappin',Kurtis Blow
The Christmas Shoes,NewSong
Text Me Merry Christmas,Straight No Chaser
Marshmallow World,Bing Crosby
Wrapped In Red,Kelly Clarkson
Sending You A Little Christmas,Jim Brickman
Last Christmas,Wham!
Gold and Green,Sugarland
A Christmas Duel,The Hives and Cyndi Lauper
Christmas Eve,Kelly Clarkson
Good King Wenceslas,Joan Baez
Dirt Sledding,The Killers
Christmas Eve,Justin Bieber
Merry Christmas Everybody,Slade
One More Sleep,Leona Lewis
The First Nowell,King's College Choir of Cambridge
More Than a Child,Hunter Hayes
When Christmas Comes Around,Matt Terry
White Christmas,Bing Crosby
What God Wants For Christmas ,Darius Rucker
You Make It Feel Like Christmas,Gwen Stefani
Happy Karma Christmas,Sufjan Stevens
Home This Christmas,Justin Bieber
The Nutcracker Suite ,Pyotr Il'yich Tchaikovsky
A Snowflake Fell (And It Felt Like a Kiss),Glasvegas
Boots,The Killers
Glow,Brett Eldredge
Must Be Santa,Bob Dylan
Santa Baby,Eartha Kitt
Christmas Time (Don't Let the Bells End),The Darkness
Merry Christmas In The NFL,"Willis ""The Guard"" & Vigorish"
The Heat Miser,George S. Irving
Help From Heaven,Matt Redman
X-M@$,Corey Taylor
Blood On The Snow,Erasure
Christmas In Fallujah,Cass Dillon
While Shepherds Watched their Flocks,King's College Choir of Cambridge
The Snow Miser Song,Dick Shawn
I Need a Silent Night,Amy Grant
Every Day's Like Christmas,Kylie Minogue
Underneath the Tree,Kelly Clarkson
Sleigh Ride,Leroy Anderson
The Little Drummer Boy,Pentatonix
Alone On Christmas Day,Phoenix
We Three Kings of Orient Are,The Beach Boys
Green Christmas,Barenaked Ladies
Joel the Lump Of Coal,The Killers
I Feel It in My Bones,The Killers
Christmas Wrapping,The Waitresses
Santa Claus Is Back in Town,Elvis Presley
Wizards in Winter,Trans-Siberian Orchestra
Grandma Got Run Over By A Reindeer,Elmo & Patsy
Christmas Time Is Here,Vince Guaraldi Trio
Christmas Lights,Coldplay
Six White Boomers,Rolf Harris
Silent Night,Bing Crosby
True Love,Ariana Grande
Melodies of Christmas,David Archuleta
My Christmas Tree,The Supremes
It Doesn't Often Snow at Christmas,Pet Shop Boys
4 Carats,Kelly Clarkson
Look Around You (It's Christmas Time),Bobby Goldsboro
Santa's Prayer,Restless Heart
Jesus and Elvis,Kenny Chesney
Angels From The Realms of Glory,King's College Choir of Cambridge
Christmas in Hollis,Run-D.M.C.
Blue Christmas,Elvis Presley
O Come All Ye Faithful,Traditional
Welcome Christmas,Dr. Seuss
Donde Esta Santa Claus,Augie Rios
(There's No Place Like) Home for the Holidays,Perry Como
Country Christmas,Loretta Lynn
Let There Be Peace On Earth,Various
Where My Christmas Lives,3 Doors Down
Winter Things,Ariana Grande
Winter Wonderland,Guy Lombardo & His Royal Canadians
Getting Ready For Christmas Day,Paul Simon
This Christmas (Let's Be Friends),Vincent Poag
Happy Christmas,Colbie Caillat
Have Yourself A Merry Little Christmas,Judy Garland
Mary's Boy Child,Harry Belafonte
Oíche Chiúin (Chorale),Enya
Driving Home for Christmas,Chris Rea
Santa Claus Is Coming To Town,Eddie Cantor
A Great Big Sled,The Killers
Santa Claus Has Got The AIDS This Year,Tiny Tim
Welcome To Our World,Chris Rice
Solstice,Björk
Some Children See Him,Alfred Burt
Breath of Heaven (Mary's Song),Amy Grant
The Christmas Song,Nat King Cole
It's Beginning To Look A Lot Like Christmas,Perry Como
Christmas Eve/Sarajevo 12/24,Trans-Siberian Orchestra
Fairytale of New York,The Pogues
Little Saint Nick,The Beach Boys
My Girlfriend Forgot Me This Christmas,The Click Five
Must Be Christmas,The Band of Merrymakers
A Willie Nice Christmas ,Kacey Musgraves
Christmas In LA,The Killers
Santa's Coming For Us,Sia
Season of Love,98 Degrees
Snoopy's Christmas,The Royal Guardsmen
