song,artist
Mass in B Minor,Johann Sebastian Bach
Wedding March,Felix Mendelssohn
Cradle Song,Johannes Brahms
Dream of a Witches' Sabbath,Hector Berlioz
Boléro,Maurice Ravel
"Symphony No. 6 in B Minor, Op. 74 ""Pathétique""",Pyotr Il'yich Tchaikovsky
The Miracle Symphony,Joseph Haydn
Miserere,Gregorio Allegri
Ode To Joy,Ludwig Van Beethoven
Wedding Day at Troldhaugen,Edvard Grieg
Moonlight Sonata,Ludwig Van Beethoven
Für Elise,Ludwig Van Beethoven
Largo al Factotum,Gioachino Rossini
La Mer,Claude Debussy
Clair De Lune,Claude Debussy
The Blue Danube,Johann Strauss II
Lux Aeterna,Kronos Quartet
Palladio,Escala
1812 Overture,Pyotr Il'yich Tchaikovsky
Here Comes The Bride,Richard Wagner
The Adagio from Schubert's String Quintet in C Major,Franz Schubert
The Nutcracker Suite ,Pyotr Il'yich Tchaikovsky
Enchanted Voices,Howard Goodall
Romeo And Juliet Fantasy Overture Love Theme,Pyotr Il'yich Tchaikovsky
Violin Concerto,Alban Berg
The Thieving Magpie Overture,Gioachino Rossini
Deutschland uber Alles,Joseph Haydn
Aria da Capo,Johann Sebastian Bach
Mass in 40 Parts,Alessandro Striggio
Adiemus,Karl Jenkins
Concerto for Piano and Orchestra,Ben Folds
Also Sprach Zarathustra,Richard Strauss
Funeral March,Frédéric Chopin
La bohème,Giacomo Puccini
Nessun Dorma,Luciano Pavarotti
Raindrop Prelude,Frédéric Chopin
I Giorni,Ludovico Einaudi
Rhapsody in Blue,George Gershwin
The Sweeper Of Dreams,Alma Deutscher
Toccata and Fugue in D Minor,Johann Sebastian Bach
The Ride Of The Valkyries,Richard Wagner
Bourée,Jethro Tull
The Chorus of the Hebrew Slaves,Giuseppe Verdi
How Lovely are thy Dwellings,Johannes Brahms
Prélude A L'après-midi D'un Faune,Claude Debussy
Air on a G String,Johann Sebastian Bach
Fingal's Cave,Felix Mendelssohn
Hallelujah Chorus,George Frederick Handel
Hungarian Rhapsody No. 2,Franz Liszt
Elvira Madigan,Wolfgang Amadeus Mozart
In the South (Alassio) ,Edward Elgar
La Clemenza di Tito,Wolfgang Amadeus Mozart
The Marriage of Figaro Overture,Wolfgang Amadeus Mozart
Brandenburg Concerto No. 2 in F major,Johann Sebastian Bach
Fanfare For The Common Man,Aaron Copland
Pastoral Symphony,Ludwig Van Beethoven
Flow My Tears,John Dowland
Coffee Cantata,Johann Sebastian Bach
Elements,Ludovico Einaudi
The Lark Ascending,Ralph Vaughan Williams
"Étude Op. 10, No. 3",Frédéric Chopin
Music Universalis,Mike Oldfield
"Jesu, Joy Of Man's Desiring",Johann Sebastian Bach
Piano Concerto in B Flat,Pyotr Il'yich Tchaikovsky
Violin Concerto in D Major,Ludwig Van Beethoven
Canon In D Major,Johann Pachelbel
Ave Maria,Franz Schubert
William Tell Overture,Gioachino Rossini
The Anvil Chorus,Giuseppe Verdi
Habanera,Georges Bizet
Water Music Suite in D Major ,George Frederick Handel
5th Symphony,Ludwig Van Beethoven
Trumpet Voluntary,Jeremiah Clarke
