song,artist
"4th of July, Asbury Park (Sandy)",Bruce Springsteen
4th of July (Fireworks),Kelis
America,Neil Diamond
Fourth of July,Fall Out Boy
4th of July,U2
1812 Overture,Pyotr Il'yich Tchaikovsky
The Star-Spangled Banner,Traditional
Party in the U.S.A.,Miley Cyrus
4th of July,Aimee Mann
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith
Yankee Doodle,Traditional
4th of July,Soundgarden
American Soldier,Toby Keith
4th of July,Amy MacDonald
Born In The U.S.A.,Bruce Springsteen
4th of July,Shooter Jennings
God Bless America,Kate Smith
Firework,Katy Perry
Fourth of July,Sufjan Stevens
America The Beautiful,Ray Charles
Independence Day,Martina McBride
American Kids,Kenny Chesney
4th of July,X
American Pie,Don McLean
God Bless The USA,Lee Greenwood
