song,artist
Cradle Song,Johannes Brahms
Summertime,Various
Sleep Tonight,The Rolling Stones
Golden Slumbers,The Beatles
If You Can't Sleep,She & Him
House at Pooh Corner,The Nitty Gritty Dirt Band
Lullaby And Good Night,Traditional
Mockingbird,Inez & Charlie Foxx
Be Still,The Fray
Mercy Is,Patti Smith
The Moon Song,Karen O
Sleep Like A Baby Tonight,U2
Happy Everafter In Your Eyes,Ben Harper
"The Sandman, the Brakeman and Me",Monsters of Folk
A Song For Sleeping,Stone Temple Pilots
Around The Bend,Pearl Jam
Dear Jessie,Madonna
Madder Red,Yeasayer
I Go To Sleep,Pretenders
The Last Laugh,Karen Elson
Always,Andy Grammer
Lullaby In The Night,Candice Night
Winter Light,Linda Ronstadt
"Lullabye (Goodnight, My Angel)",Billy Joel
Everything'll Be Alright (Will's Lullaby),Joshua Radin
Good Night,The Beatles
Goodnight Elisabeth,Counting Crows
Be Good Until Then,Butch Walker
Flowers For Zoe,Lenny Kravitz
Harlow's Song (Can't Dream Without You),Good Charlotte
Lullaby For Wyatt,Sheryl Crow
Baby Don't Cry,Jamey Johnson
Rockabye Baby,Traditional
Blue Does,Blue October
Next Plane Home,Daniel Powter
Last Lullaby,The Unthanks
Sweet Baby James,James Taylor
