song,artist
Operator (That's Not the Way It Feels),Jim Croce
Wrong Number,The Cure
Operator,Midnight Star
"Hello, This Is Joanie (The Telephone Answering Machine Song)",Paul Evans
Telephone,Lady Gaga
Let's Roll,Neil Young
Beechwood 4-5789,The Marvelettes
Hello! Ma Baby,Arthur Collins
Calling All My Lovelies ,Bruno Mars
You Don't Know My Name,Alicia Keys
Jump To It,Aretha Franklin
Sometimes A Fantasy,Billy Joel
Kiss Me Thru the Phone,Soulja Boy
Lonely Call,RaeLynn
Spiderwebs,No Doubt
The Girl On The Phone,The Jam
Hanging On The Telephone,Blondie
1-800-273-8255,Logic
Party on the Phone,Billie
Hotline Bling,Drake
Mojave Phone Booth,Steve Barton
Dad's Old Number,Cole Swindell
When Girls Telephone Boys,Deftones
Bless the Telephone,Kelis
Had To Phone Ya,The Beach Boys
Interstate Love Song,Stone Temple Pilots
Rivercity,All That Remains
Why We Call Each Other,Dustin Lynch
One Number Away,Luke Combs
Ring Ring,Jax Jones
Memphis,Johnny Rivers
Mr. Telephone Man,New Edition
Hello It's Me,Todd Rundgren
The Dark Girl Dress'd In Blue,Harry Clifton
Dial A Hitman,Big Audio Dynamite
Ring,Cardi B
