song,artist
Thriller,Michael Jackson
Crazy Little Thing Called Love,Queen
We Are Family,Sister Sledge
Mercy,Duffy
Don't Stop Believin',Journey
My Heart Will Go On,Celine Dion
My Way,Frank Sinatra
Livin' on a Prayer,Bon Jovi
Hero,Enrique Iglesias
Killing Me Softly With His Song,Roberta Flack
Can't Take My Eyes Off You,Frankie Valli
Girls Just Want To Have Fun,Cyndi Lauper
Don't Stop 'Til You Get Enough,Michael Jackson
Love Shack,The B-52s
Angels,Robbie Williams
Maps,Yeah Yeah Yeahs
Islands in the Stream,Kenny Rogers and Dolly Parton
Angel,Shaggy
Barbie Girl,Aqua
My Immortal,Evanescence
Someone Like You,Adele
Dancing Queen,ABBA
(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes
Beat It,Michael Jackson
Get The Party Started,Pink
What A Wonderful World,Louis Armstrong
Yellow Submarine,The Beatles
Complicated,Avril Lavigne
I Am...I Said,Neil Diamond
I Will Survive,Gloria Gaynor
Something To Talk About,Bonnie Raitt
Wonderwall,Oasis
Sweet Caroline,Neil Diamond
Eye of the Tiger,Survivor
