song,artist
Good Riddance (Time Of Your Life),Green Day
It's Time,Imagine Dragons
I Gotta Feeling,The Black Eyed Peas
Brave,Sara Bareilles
100 Years,Five for Fighting
End of the Road,Boyz II Men
Good Life,OneRepublic
I'll Stand By You,Pretenders
School's Out,Alice Cooper
"Tonight, Tonight",Smashing Pumpkins
This Is The Time,Billy Joel
Unwritten,Natasha Bedingfield
Live Your Life,T.I.
Graduate,Third Eye Blind
Everybody's Free (To Wear Sunscreen),Baz Luhrmann
Learning To Fly,Tom Petty & the Heartbreakers
Viva La Vida,Coldplay
Dog Days Are Over,Florence + the Machine
7 Years,Lukas Graham
I Don't Want To Miss A Thing,Aerosmith
It's the End of the World As We Know It (And I Feel Fine),R.E.M.
The Middle,Jimmy Eat World
Thnks Fr Th Mmrs,Fall Out Boy
I Swear,All-4-One
It's So Hard to Say Goodbye to Yesterday,Boyz II Men
Closing Time,Semisonic
I'll Be,Edwin McCain
When I Grow Up,The Pussycat Dolls
Moment 4 Life,Nicki Minaj
I'll Remember,Madonna
Pomp and Circumstance,Edward Elgar
Going Away To College,blink-182
Graduation (Friends Forever),Vitamin C
(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes
See You Again,Wiz Khalifa
Party Rock Anthem,LMFAO
Hollaback Girl,Gwen Stefani
Kids,MGMT
Time Of Our Lives,Pitbull
We Are Young,Fun.
I'll Be There For You,The Rembrandts
Breakaway,Kelly Clarkson
You Get What You Give,The New Radicals
Here's To The Night,Eve 6
Where Are You Going?,Dave Matthews Band
Photograph,Nickelback
I Hope You Dance,Lee Ann Womack
Hero,Mariah Carey
Bitter Sweet Symphony,The Verve
Save Tonight,Eagle-Eye Cherry
Somewhere Only We Know,Keane
Ordinary World,Duran Duran
Shiny Happy People,R.E.M.
Here Comes The Sun,The Beatles
The Climb,Miley Cyrus
Congratulations ,MGMT
Firework,Katy Perry
Happy,Pharrell Williams
I Believe I Can Fly,R. Kelly
Get The Party Started,Pink
Send Me On My Way,Rusted Root
Story of My Life,Social Distortion
The Dance,Garth Brooks
I'll Be There,Mariah Carey
Let It Go,Idina Menzel
This Used To Be My Playground,Madonna
Memories,Weezer
The Power Of Goodbye,Madonna
The Remedy (I Won't Worry),Jason Mraz
Started from the Bottom,Drake
I Was Here,Beyoncé
