song,artist
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits
One,U2
To the Aisle,The Five Satins
True,Spandau Ballet
Biggest Part Of Me,Ambrosia
Wedding March,Felix Mendelssohn
Wedding Song (There Is Love),Noel Paul Stookey
A Moment Like This,Kelly Clarkson
Lovin' You,Minnie Riperton
Sweet Thing,Van Morrison
The Power Of Love,Jennifer Rush
When God Made You,NewSong
You And Me,Lifehouse
Für immer,Warlock
You Light Up My Life,Debby Boone
At Last,Etta James
True Companion,Marc Cohn
Trumpet Voluntary,Jeremiah Clarke
Everlasting Love,Robert Knight
Chasing Cars,Snow Patrol
I Do,Colbie Caillat
Amazed,Lonestar
Never My Love,The Association
"Praise My Soul, the King of Heaven",King's College Choir of Cambridge
When A Man Loves A Woman,Percy Sledge
You Look So Fine,Garbage
I'll Always Love You,Taylor Dayne
Waiting For A Girl Like You,Foreigner
Because You Loved Me,Celine Dion
Daughter,Peter Blegvad
"Every Day With You, Girl",Classics IV
Here Comes The Bride,Richard Wagner
You Are So Beautiful,Joe Cocker
Light Me Up,Kristian Bush
Colour My World,Chicago
Differences,Ginuwine
Crazy Love,Van Morrison
Like I'm Gonna Lose You,Meghan Trainor
Thinking Out Loud,Ed Sheeran
The Day Before You,Rascal Flatts
"Love Divine, All Loves Excelling",King's College Choir of Cambridge
Safe and Sound,Hawksley Workman
I'll Be,Edwin McCain
Love of a Lifetime,Firehouse
(Everything I Do) I Do It For You,Bryan Adams
All You Need Is Love,The Beatles
Giving You The Best That I Got,Anita Baker
Longer,Dan Fogelberg
The Rose,Bette Midler
I Knew I Loved You,Savage Garden
Glory Of Love,Peter Cetera
Get Me To The Church On Time,Stanley Holloway
I Give All My Love to You,Rhonda Vincent
Always And Forever,Heatwave
Through The Fire,Chaka Khan
Everything,Michael Bublé
We've Only Just Begun,Carpenters
Danny's Song,Loggins and Messina
You Were Meant For Me,Jewel
I Believe I Can Fly,R. Kelly
Love,Sugarland
Celebration,Kool & the Gang
All Of Me,John Legend
"Jesu, Joy Of Man's Desiring",Johann Sebastian Bach
Hot Hot Hot,Arrow
Canon In D Major,Johann Pachelbel
Grow Old With Me,John Lennon
The First Day of My Life,Bright Eyes
Unwritten,Natasha Bedingfield
Friends and Lovers,Gloria Loring and Carl Anderson
Great Is Thy Faithfulness,Thomas Chisholm
By Your Side,Sade
I Honestly Love You,Olivia Newton-John
Into The Mystic,Van Morrison
The Colour of My Love,Celine Dion
Perfect,Ed Sheeran
The Carnival Is Over,The Seekers
Best Of My Love,Eagles
Have I Told You Lately,Van Morrison
I Love You,Climax Blues Band
Let's Stay Together,Al Green
In Case You Didn't Know,Brett Young
