song,artist
Halloween,Mastodon
Bela Lugosi's Dead,Bauhaus
The Haunted House Of Rock ,Whodini
Season Of The Witch,Donovan
Out Of Limits,The Marketts
Thriller,Michael Jackson
Monster Mash,"Bobby ""Boris"" Pickett & the Crypt-Kickers"
Hell's Bells,AC/DC
Hollow,Björk
Sympathy For The Devil,The Rolling Stones
Dinner With Drac,John Zacherle
Sleepless Nights,King Diamond
Laurie (Strange Things Happen),Dickey Lee
Mr. Crowley,Ozzy Osbourne
Runnin' With The Devil,Van Halen
Stigmata Martyr,Bauhaus
Feed My Frankenstein,Alice Cooper
I Put A Spell On You,Screamin' Jay Hawkins
Spooky,Classics IV
Devil Woman,Cliff Richard
Ghostbusters,"Ray Parker, Jr."
Haunted House,Jumpin' Gene Simmons
Werewolves Of London,Warren Zevon
Nosferatu,Blue Öyster Cult
Lycanthrope,+44
Clap For The Wolfman,The Guess Who
Highway to Hell,AC/DC
Ghosts N Stuff,Deadmau5
True Blood,Justin Timberlake
Frankenstein,Edgar Winter
The Black Widow,Alice Cooper
The Blob,The Five Blobs
Joan Crawford,Blue Öyster Cult
Love At First Fright,Murderdolls
I Walked With A Zombie,Wednesday 13
