song,artist
Give Thanks,Don Moen
Jesus Is Just Alright,The Doobie Brothers
Word of God Speak,MercyMe
How Great Is Our God,Chris Tomlin
Great Is The Lord,Housefires
Millennium Prayer,Cliff Richard
O Come All Ye Faithful,Traditional
Foi Na Cruz,Nick Cave & the Bad Seeds
We Three Kings of Orient Are,The Beach Boys
In Christ Alone,Newsboys
All Things Bright and Beautiful,Libera
God of Wonders,Third Day
Cry Out To Jesus,Third Day
Here Comes The Bride,Richard Wagner
It Came Upon A Midnight Clear,Josh Groban
As The Deer,Martin Nystrom
When I Survey the Wondrous Cross,King's College Choir of Cambridge
"Guide Me, O Thou Great Redeemer",Caerphilly Male Voice Choir
"Jesus, Lover Of My Soul",The Edwin Hawkins Singers
Wedding Song (There Is Love),Noel Paul Stookey
"10,000 Reasons (Bless the Lord)",Matt Redman
Rock Of Ages,Traditional
Amazing Grace,Traditional
"Take My Hand, Precious Lord",Mahalia Jackson
Turn Your Eyes Upon Jesus,Helen Howarth Lemmel
I Could Sing Of Your Love Forever,Delirious?
The Old Rugged Cross,Johnny Cash
This is Amazing Grace ,Phil Wickham
Silent Night,Bing Crosby
O Little Town Of Bethlehem,Gene Autry
Blessed Assurance ,Third Day
"Love Divine, All Loves Excelling",King's College Choir of Cambridge
Will The Circle Be Unbroken?,The Carter Family
Hallelujah Chorus,George Frederick Handel
Hark! The Herald Angels Sing,King's College Choir of Cambridge
In the Garden,Elvis Presley
Oh Happy Day,The Edwin Hawkins Singers
It Is Well With My Soul,Mahalia Jackson
God Will Make A Way ,Don Moen
A Beautiful Life,William Golden
Away In A Manger,Mannheim Steamroller
He Touched Me,Bill Gaither Trio
Hallelujah,Jeff Buckley
Revive Us Again,Various
At Calvary,Vic Mignogna
Take My Life and Let It Be,Frances Ridley Havergal
How Great Thou Art,Elvis Presley
Good Good Father,Chris Tomlin
Shout to the Lord,Darlene Zschech
What a Friend We Have in Jesus,Various
Reckless Love,Cory Asbury
O Holy Night,Clay Aiken
Jesus Paid It All,Crystal Lewis
Life's Railway To Heaven,Brad Paisley
Our God Reigns,Phil Driscoll
Blessed Redeemer,Casting Crowns
Miserere,Gregorio Allegri
Morning Has Broken,Cat Stevens
The Lord's Prayer,Sister Janet Mead
Here I Am To Worship,Tim Hughes
The Battle Hymn of the Republic,Traditional
O For A Thousand Tongues To Sing,David Crowder Band
Abide With Me,King's College Choir of Cambridge
"Answer Me, My Love",Nat King Cole
Sometimes Alleluia,Chuck Girard
God Moves in a Mysterious Way,William Cowper
Ave Maria,Franz Schubert
God Will Lift Up Your Head,Jars of Clay
Good King Wenceslas,Joan Baez
Jesus Name Above All Names,Naida Hearn
Holy Is The Lord,Chris Tomlin
I Will Rise,Chris Tomlin
"Come, Now Is The Time To Worship",Brian Doerksen
In The Bleak Midwinter,King's College Choir of Cambridge
Angels From The Realms of Glory,King's College Choir of Cambridge
Once In Royal David's City,Mantovani
"Praise My Soul, the King of Heaven",King's College Choir of Cambridge
While Shepherds Watched their Flocks,King's College Choir of Cambridge
Above All,Michael W. Smith
Crown Him (Majesty),Chris Tomlin
The First Noel,Traditional
"Just As I am, Without One Plea",Tennessee Ernie Ford
Where Could I Go (But To The Lord),Gaither Vocal Band
Great Is the Lord,Michael W. Smith
Great Is Thy Faithfulness,Thomas Chisholm
Kumbaya,Joan Baez
"Shine, Jesus, Shine",Graham Kendrick
"Holy, Holy, Holy",Mahalia Jackson
Whom Shall I Fear (God of Angel Armies),Chris Tomlin
I'm On My Way To Canaan Land,Traditional
We Fall Down,Chris Tomlin
Days Of Elijah,Robin Mark
Jerusalem,King's College Choir of Cambridge
The First Nowell,King's College Choir of Cambridge
Awesome God,Rich Mullins
Jesus Cares For Me,Bart Millard
Holy Ground,Geron Davis
Onward Christian Soldiers,Arthur Sullivan
What Child Is This?,Josh Groban
This Little Light Of Mine,The Seekers
"Nearer, My God, to Thee",Mahalia Jackson
Servant King,Graham Kendrick
