song,artist
Three Steps To Heaven,Eddie Cochran
It Doesn't Matter Anymore,Buddy Holly
Melissa,The Allman Brothers Band
A Change Is Gonna Come,Sam Cooke
You Know You're Right,Nirvana
(Just Like) Starting Over,John Lennon
I'll Have To Say I Love You In A Song,Jim Croce
Watching The Wheels,John Lennon
Clouds,Zach Sobiech
Love Will Tear Us Apart,Joy Division
Voodoo Child (Slight Return),Jimi Hendrix
You Got It,Roy Orbison
Self Care,Mac Miller
Swings & Waterslides,Viola Beach
Imagine,John Lennon
Your Cheatin' Heart,Hank Williams
Me And Bobby McGee,Janis Joplin
Woman,John Lennon
Hypnotize,The Notorious B.I.G.
Turn Your Lights Down Low,Bob Marley
Time In A Bottle,Jim Croce
What Am I Living For?,Chuck Willis
1999,Prince
Love Never Felt So Good,Michael Jackson
Pledging My Love,Johnny Ace
Free As A Bird,The Beatles
What's Your Name,Lynyrd Skynyrd
Real Love,The Beatles
Donna,Ritchie Valens
Get It While You Can,Janis Joplin
I Drove All Night,Roy Orbison
Doin' Time,Sublime
Nobody Told Me,John Lennon
A Little Less Conversation,Elvis Presley
Wrong Way,Sublime
Hold My Hand,Michael Jackson
Nasty Girl,The Notorious B.I.G.
A Winter's Tale,Queen
More Than a Woman,Aaliyah
About A Girl,Nirvana
Habanera,Georges Bizet
Santeria,Sublime
What I Got,Sublime
Dreaming of You,Selena
Iron Lion Zion,Bob Marley & the Wailers
(Sittin' On) The Dock Of The Bay,Otis Redding
