song,artist
Pusher Love Girl,Justin Timberlake
Stay,Sugarland
Just The Way You Are,Bruno Mars
Dance With My Father,Luther Vandross
Alley Cat,Bent Fabric
Bad Love,Eric Clapton
Bangarang,Skrillex
In My Place,Coldplay
I'd Do Anything For Love (But I Won't Do That),Meat Loaf
Underneath It All,No Doubt
Better Man,Little Big Town
Closer To Fine,Indigo Girls
Elevation,U2
Stronger,Kanye West
You're Still the One,Shania Twain
Uninvited,Alanis Morissette
Boulevard Of Broken Dreams,Green Day
What a Diff'rence a Day Makes,Dinah Washington
All of the Lights,Kanye West
I Am Woman,Helen Reddy
One,Metallica
(Everything I Do) I Do It For You,Bryan Adams
Every Breath You Take,The Police
Passionate Kisses,Lucinda Williams
Where Are U Now,Jack U
On the Road Again,Willie Nelson
Woman,Wolfmother
Cry,Faith Hill
"Nel Blu, Dipinto di Blu (Volare)",Domenico Modugno
Behind Closed Doors,Charlie Rich
Games People Play,Joe South
Colors Of The Wind,Vanessa Williams
Let It Go,Idina Menzel
A Whole New World (Aladdin's Theme),Peabo Bryson and Regina Belle
Patches,Clarence Carter
Alright,Kendrick Lamar
Doo Wop (That Thing),Lauryn Hill
No More I Love You's,Annie Lennox
Bad Blood,Taylor Swift
Hurt,Nine Inch Nails
Still Crazy After All These Years,Paul Simon
Billie Jean,Michael Jackson
Living In America,James Brown
Simply Irresistible,Robert Palmer
Rolling In The Deep,Adele
Before I Forget,Slipknot
I Wish,Stevie Wonder
Graceland,Paul Simon
My Church,Maren Morris
With Arms Wide Open,Creed
I Still Haven't Found What I'm Looking For,U2
Bette Davis Eyes,Kim Carnes
Run,Foo Fighters
Clocks,Coldplay
Bridge Over Troubled Water,Simon & Garfunkel
Deep Purple,Nino Tempo & April Stevens
Walk,Foo Fighters
Shape Of You,Ed Sheeran
Block Rockin' Beats,The Chemical Brothers
Humble and Kind,Tim McGraw
Against All Odds (Take A Look At Me Now),Phil Collins
I Will Always Love You,Whitney Houston
Can You Feel The Love Tonight,Elton John
The Gambler,Kenny Rogers
B.Y.O.B.,System of a Down
The Devil Went Down To Georgia,The Charlie Daniels Band
You Want It Darker,Leonard Cohen
Uptown Funk,Mark Ronson
The House That Built Me,Miranda Lambert
Traveller,Chris Stapleton
I Still Believe in You,Vince Gill
Un-Break My Heart,Toni Braxton
Single Ladies (Put a Ring on It),Beyoncé
Change The World,Eric Clapton
Scary Monsters and Nice Sprites,Skrillex
Need You Now,Lady Antebellum
No Problem,Chance the Rapper
Bust A Move,Young MC
Come Together,The Beatles
Sunny Came Home,Shawn Colvin
Miami Vice Theme,Jan Hammer
If We Were Vampires,Jason Isbell
My Humps,The Black Eyed Peas
Catch A Falling Star,Perry Como
The Wind Beneath My Wings,Bette Midler
Ordinary People,John Legend
First Time Ever I Saw Your Face,Roberta Flack
You Light Up My Life,Debby Boone
Galvanize,The Chemical Brothers
I Hope You Dance,Lee Ann Womack
Love Will Keep Us Together,Captain & Tennille
All For You,Janet Jackson
Cry Me A River,Justin Timberlake
Marooned,Pink Floyd
Welcome to Jamrock,Damian Marley
Crawling,Linkin Park
Viva La Vida,Coldplay
Streets Of Philadelphia,Bruce Springsteen
Sultan's Curse,Mastodon
Turn Your Love Around,George Benson
There Goes My Baby,Usher
Do You Know the Way to San José,Dionne Warwick
Bad Romance,Lady Gaga
Empire State of Mind,Jay-Z
American Woman,Lenny Kravitz
Let The River Run,Carly Simon
Devils & Dust,Bruce Springsteen
LOYALTY.,Kendrick Lamar
What Goes Around... Comes Around,Justin Timberlake
Mack The Knife,Bobby Darin
Land of Confusion,Genesis
Beautiful,Christina Aguilera
Uncle Albert,Admiral Halsey
Love Can Build a Bridge,The Judds
Gettin' Jiggy Wit It,Will Smith
Iron Man,Black Sabbath
Crazy,Aerosmith
Outa-Space,Billy Preston
Plush,Stone Temple Pilots
Breathe Again,Toni Braxton
Night Fever,Bee Gees
Soldier of Love,Sade
Tequila,The Champs
Sometimes You Can't Make It On Your Own,U2
No One,Alicia Keys
Black Cow,Steely Dan
And I Am Telling You I'm Not Going,Jennifer Holliday
Before He Cheats,Carrie Underwood
Don't Know Much,Linda Ronstadt
It's Your Thing,The Isley Brothers
No Diggity,Blackstreet
You Are The Sunshine Of My Life,Stevie Wonder
I Left My Heart in San Francisco,Tony Bennett
Denis,Blondie
Jesus Walks,Kanye West
It's Too Late,Carole King
I Know a Place,Petula Clark
City Of Blinding Lights,U2
Waiting On The World To Change,John Mayer
What Are You Doing The Rest Of Your Life?,Dusty Springfield
Be Without You,Mary J. Blige
You Make Me Feel Like Dancing,Leo Sayer
You've Got A Friend,James Taylor
Don't Stand So Close To Me,The Police
Another Day in Paradise,Phil Collins
Losing My Religion,R.E.M.
Georgia On My Mind,Ray Charles
Mean,Taylor Swift
Overcomer,Mandisa
Tire Me,Rage Against the Machine
I Write The Songs,Barry Manilow
Use Somebody,Kings of Leon
Best Of My Love,The Emotions
Lonely Boy,The Black Keys
Battle of New Orleans,Johnny Horton
I'll Never Love This Way Again,Dionne Warwick
Soul Man,Sam & Dave
Who Let The Dogs Out,Baha Men
Earned It,The Weeknd
Jessica,The Allman Brothers Band
Michelle,The Beatles
Really Love,D'Angelo
Fly Away,Lenny Kravitz
Formation,Beyoncé
Dilemma,Nelly
How Far I'll Go,Alessia Cara
I Can't Stop Loving You,Ray Charles
Crazy In Love,Beyoncé
Here You Come Again,Dolly Parton
You've Got a Friend,Carole King
Something To Talk About,Bonnie Raitt
Dystopia,Megadeth
Hotel California,Eagles
U Can't Touch This,MC Hammer
Vision Of Love,Mariah Carey
Get Lucky,Daft Punk
Somebody That I Used To Know,Gotye
Cherokee Maiden,Merle Haggard
Eleanor Rigby,The Beatles
Don't Let Me Be Lonely Tonight,James Taylor
Free As A Bird,The Beatles
Just The Way You Are,Billy Joel
Fast Car,Tracy Chapman
Something in the Water,Carrie Underwood
At Seventeen,Janis Ian
Classical Gas,Mason Williams
The Soul Cages,Sting
Tonite,LCD Soundsystem
I Believe I Can Fly,R. Kelly
Broken Halos,Chris Stapleton
Feel It Still,Portugal. The Man
Caribbean Queen (No More Love On The Run),Billy Ocean
24 Frames,Jason Isbell
"Hold On, I'm Comin'",Sam & Dave
Janie's Got A Gun,Aerosmith
Ain't No Other Man,Christina Aguilera
Folsom Prison Blues,Johnny Cash
All My Life,Foo Fighters
Ain't That Lonely Yet,Dwight Yoakam
The Rising,Bruce Springsteen
Men In Black,Will Smith
Stand By Your Man,Tammy Wynette
Dance Tonight,Paul McCartney
Cliffs of Dover,Eric Johnson
The Monster,Eminem
After The Love Has Gone,"Earth, Wind & Fire"
Since U Been Gone,Kelly Clarkson
That's What I Like ,Bruno Mars
Feel Good Inc.,Gorillaz
If You Leave Me Now,Chicago
Tha Crossroads,Bone Thugs-N-Harmony
From This Valley,The Civil Wars
Walk On,U2
Theme From A Summer Place,Percy Faith
This Masquerade,George Benson
Rise,Herb Alpert
Man! I Feel Like a Woman!,Shania Twain
Tears In Heaven,Eric Clapton
Don't It Make My Brown Eyes Blue,Crystal Gayle
Up Where We Belong,Joe Cocker & Jennifer Warnes
Breathe,Faith Hill
Desire,U2
Downtown,Petula Clark
Gravity,John Mayer
Both Sides Now,Judy Collins
I'm in the Mood,John Lee Hooker and Bonnie Raitt
Wagon Wheel,Old Crow Medicine Show
Money For Nothing,Dire Straits
Flashdance... What a Feeling,Irene Cara
Putin,Randy Newman
Ms. Jackson,OutKast
A Taste of Honey,Herb Alpert
Don't Stop 'Til You Get Enough,Michael Jackson
Scar Tissue,Red Hot Chili Peppers
Radioactive,Imagine Dragons
Oh Happy Day,The Edwin Hawkins Singers
God Provides,Tamela Mann
Sexual Healing,Marvin Gaye
Love On Top,Beyoncé
"Hello, Dolly!",Louis Armstrong
Halo,Beyoncé
Cut Me Some Slack,"Paul McCartney, Dave Grohl, Krist Novoselic & Pat Smear"
Desiderata,Les Crane
Run-Around,Blues Traveler
Because You Loved Me,Celine Dion
Stressed Out,Twenty One Pilots
Summertime,DJ Jazzy Jeff & the Fresh Prince
Saving All My Love For You,Whitney Houston
Every Little Step,Bobby Brown
Redbone,Childish Gambino
Holy Grail,Jay-Z
Icky Thump,The White Stripes
Cloud Nine,The Temptations
A Hard Day's Night,The Beatles
Fool For You,Cee Lo Green
Lose Yourself,Eminem
Electric Feel,MGMT
This Is It,Kenny Loggins
Living for the City,Stevie Wonder
Unforgettable,Nat King Cole
(Sittin' On) The Dock Of The Bay,Otis Redding
Better Than You,Metallica
Don't Phunk With My Heart,The Black Eyed Peas
Kiss From A Rose,Seal
Ain't It Fun,Paramore
Say Something,A Great Big World
I'll Never Fall in Love Again,Dionne Warwick
Get Right With God,Lucinda Williams
Eat It,Weird Al Yankovic
For Once In My Life,Stevie Wonder
Got 'Til It's Gone,Janet Jackson
Opposites Attract,Paula Abdul
The Connecton,Emmylou Harris
King Of The Road,Roger Miller
Radio Nowhere,Bruce Springsteen
Untitled (How Does It Feel),D'Angelo
Chasing Pavements,Adele
Stuck In A Moment You Can't Get Out Of,U2
Don't Wanna Fight,Alabama Shakes
Mama Said Knock You Out,LL Cool J
The Girl From Ipanema,Stan Getz and Astrud Gilberto
Say My Name,Destiny's Child
Theme From Mission: Impossible,Lalo Schifrin
Hey Baby,No Doubt
Here We Go Again,Ray Charles and Norah Jones
The End Is The Beginning Is The End,Smashing Pumpkins
What's Love Got To Do With It,Tina Turner
Holy Spirit,Francesca Battistelli
Wanna Be Happy?,Kirk Franklin
Either Way,Chris Stapleton
Steam,Peter Gabriel
I'll Make Love To You,Boyz II Men
Lake By the Ocean,Maxwell
Strangers in the Night,Frank Sinatra
Heartache Tonight,Eagles
The Way We Were,Barbra Streisand
Thinking Out Loud,Ed Sheeran
Sailing,Christopher Cross
Royals,Lorde
Boss Of Me,They Might Be Giants
Trouble,Pink
9 to 5,Dolly Parton
What a Fool Believes,The Doobie Brothers
Two Hearts,Phil Collins
I Swear,All-4-One
Daughters,John Mayer
The Boy Is Mine,Brandy & Monica
Lazaretto,Jack White
Behind My Camel,The Police
When I Fall In Love,Doris Day
Spin The Black Circle,Pearl Jam
Clarity,Zedd
Livin' On The Edge,Aerosmith
Let's Get It Started,The Black Eyed Peas
Maria Maria,Santana
Jump (For My Love),The Pointer Sisters
Déjà Vu,Dionne Warwick
A Feather's Not A Bird,Rosanne Cash
Constant Craving,k.d. lang
Black Hole Sun,Soundgarden
Happy,Pharrell Williams
From A Distance,Bette Midler
God Is Dead?,Black Sabbath
Higher Love,Steve Winwood
These Walls,Kendrick Lamar
Cranes In The Sky,Solange
Give Me The Night,George Benson
My Heart Will Go On,Celine Dion
