song,artist
Take A Bow,Madonna
All Is Full Of Love,Björk
Mary Jane's Last Dance,Tom Petty & the Heartbreakers
Blackstar,David Bowie
Anaconda,Nicki Minaj
All In My Head (Flex),Fifth Harmony
Big Me,Foo Fighters
Cult of Personality,Living Colour
"Tonight, Tonight",Smashing Pumpkins
You Were Meant For Me,Jewel
Sowing the Seeds of Love,Tears for Fears
Whatever It Takes,Imagine Dragons
What I Got,Sublime
Jesus Walks,Kanye West
Love Will Never Do (Without You),Janet Jackson
Stupid Girls,Pink
Good Riddance (Time Of Your Life),Green Day
November Rain,Guns N' Roses
Rhythm Nation,Janet Jackson
Screaming Infidelities,Dashboard Confessional
Uptown Funk,Mark Ronson
Check On It,Beyoncé
Hey Baby,No Doubt
Survivor,Destiny's Child
Fell In Love With A Girl,The White Stripes
Somewhere I Belong,Linkin Park
Everywhere,Michelle Branch
Fallin',Alicia Keys
Complicated,Avril Lavigne
Dig,Mudvayne
Hold Up,Beyoncé
Money For Nothing,Dire Straits
Jeremy,Pearl Jam
Sabotage,Beastie Boys
Rain,Madonna
Try Again,Aaliyah
Let Me Blow Ya Mind,Eve
Sweet Child O' Mine,Guns N' Roses
Freak on a Leash,Korn
I'm On Fire,Bruce Springsteen
In The End,Linkin Park
Thriller,Michael Jackson
Ride Wit Me,Nelly
Take On Me,a-ha
Wicked Game,Chris Isaak
Hero,Chad Kroeger
Straight Up,Paula Abdul
Virtual Insanity,Jamiroquai
Kiss That Frog,Peter Gabriel
Bad Romance,Lady Gaga
Umbrella,Rihanna
Free Your Mind,En Vogue
XO Tour Llif3,Lil Uzi Vert
Lady Marmalade,Labelle
No More Drama,Mary J. Blige
You Don't Know How It Feels,Tom Petty
Right Now,Van Halen
You Might Think,The Cars
Rockit,Herbie Hancock
We Found Love,Rihanna
Waiting For Tonight,Jennifer Lopez
Friday I'm In Love,The Cure
China Girl,David Bowie
Mirrors,Justin Timberlake
Love Is Strong,The Rolling Stones
Even Better Than The Real Thing,U2
Trap Queen,Fetty Wap
Hold On We're Going Home ,Drake
Formation,Beyoncé
Father Figure,George Michael
Mi Gente,J. Balvin
HUMBLE.,Kendrick Lamar
I Don't Wanna Live Forever,Taylor Swift
I Knew You Were Trouble,Taylor Swift
Chun-Li,Nicki Minaj
How Deep Is Your Love,Calvin Harris
Havana,Camila Cabello
The Boys of Summer,Don Henley
Piece Of Me,Britney Spears
Up & Up,Coldplay
Girls Just Want To Have Fun,Cyndi Lauper
The New Pollution,Beck
Weapon Of Choice,Fatboy Slim
In Da Club,50 Cent
Down,Fifth Harmony
Work It,Missy Elliott
No Tears Left to Cry,Ariana Grande
Breaking The Habit,Linkin Park
Stay,Zedd
Don't Speak,No Doubt
Glycerine,Bush
U Got the Look,Prince
Wild Wild Life,Talking Heads
Hotline Bling,Drake
Heathens,Twenty One Pilots
Rockstar,Post Malone
Sledgehammer,Peter Gabriel
The Sun Always Shines on T.V.,a-ha
When Love Comes To Town,U2
Ironic,Alanis Morissette
Rollin' (Air Raid Vehicle),Limp Bizkit
Hourglass,Squeeze
Wrecking Ball,Miley Cyrus
Jump,Van Halen
Welcome To The Jungle,Guns N' Roses
This Is What You Came For,Calvin Harris
Work from Home,Fifth Harmony
Fade,Kanye West
Shadow Of The Day,Linkin Park
Like A Prayer,Madonna
