song,artist
Under the Sea,Disney
Glory,John Legend
Mona Lisa,Nat King Cole
A Whole New World (Aladdin's Theme),Peabo Bryson and Regina Belle
Let It Go,Idina Menzel
Man or Muppet,Jason Segel
My Heart Will Go On,Celine Dion
It's Hard Out Here For A Pimp,Three 6 Mafia
"Say You, Say Me",Lionel Richie
Let The River Run,Carly Simon
Skyfall,Adele
We May Never Love Like This Again,Maureen McGovern
You'll Be In My Heart,Phil Collins
I Just Called To Say I Love You,Stevie Wonder
Baby It's Cold Outside,Margaret Whiting and Johnny Mercer
Streets Of Philadelphia,Bruce Springsteen
The Windmills Of Your Mind,Noel Harrison
The Weary Kind ,Ryan Bingham
Theme From Shaft,Isaac Hayes
"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day
Can You Feel The Love Tonight,Elton John
I Need To Wake Up,Melissa Etheridge
City of Stars,Ryan Gosling & Emma Stone 
Falling Slowly,Glen Hansard & Marketa Irglova
Over The Rainbow,Judy Garland
When You Wish Upon A Star,Cliff Edwards
Into The West,Annie Lennox
Fame,Irene Cara
Flashdance... What a Feeling,Irene Cara
Writing's On The Wall,Sam Smith
Jai Ho! (You Are My Destiny) ,The Pussycat Dolls
The Way We Were,Barbra Streisand
Evergreen,Barbra Streisand
You Light Up My Life,Debby Boone
(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes
Last Dance,Donna Summer
Remember Me,Miguel
Beauty and the Beast,Celine Dion
High Hopes,Frank Sinatra
We Belong Together,Randy Newman
For All We Know,Carpenters
Swinging On A Star,Bing Crosby
Secret Love,Doris Day
Take My Breath Away,Berlin
Gigi,Lerner & Loewe
Things Have Changed,Bob Dylan
Talk To The Animals,Cast of Doctor Dolittle
Raindrops Keep Falling On My Head,B.J. Thomas
Arthur's Theme (Best That You Can Do),Christopher Cross
The Morning After,Maureen McGovern
The Way You Look Tonight,Fred Astaire
Up Where We Belong,Joe Cocker & Jennifer Warnes
When You Believe,Mariah Carey and Whitney Houston
Born Free,Matt Monro
Colors Of The Wind,Vanessa Williams
