song,artist
Rudie Can't Fail,The Clash
Praise You,Fatboy Slim
Wavin' Flag,K'NAAN
Back In The Saddle,Aerosmith
In The Old Town Tonight,James Bland
Rockin' In The Free World,Neil Young
Love Train,The O'Jays
The Missouri Hound Dog,James Bland
Hot Time In Our Town,James Bland
Our Country,John Mellencamp
Fake Empire,The National
The Trees,Rush
We Are Family,Sister Sledge
Born Free,Kid Rock
We Came Here To Party,LMFAO
Whatever It Takes,Imagine Dragons
You Can Get It If You Really Want,Jimmy Cliff
Panic Switch,Silversun Pickups
You Can't Always Get What You Want,The Rolling Stones
Johnny B. Goode,Chuck Berry
Let The Day Begin,The Call
Yes We Can,will.i.am
The American Dreamer,Jacob Seales
I Won't Back Down,Tom Petty
Tough People Do,Trace Adkins
More Than a Feeling,Boston
You Can Call Me Al,Paul Simon
Don't Stop,Fleetwood Mac
Seven Nation Army,The White Stripes
Times Like These,Foo Fighters
The Cup Of Life,Ricky Martin
We Are The Champions,Queen
This Land Is Your Land,Woody Guthrie
Born In The U.S.A.,Bruce Springsteen
Memphis Blues,W.C. Handy
High Hopes,Frank Sinatra
Fight Song,Rachel Platten
Still The One,Orleans
Suddenly I See,KT Tunstall
We're Not Gonna Take It,Twisted Sister
A Little Less Conversation,Elvis Presley
Despacito,Luis Fonsi
We Take Care of Our Own,Bruce Springsteen
Roar,Katy Perry
"It's Alright, Ma (I'm Only Bleeding)",Bob Dylan
Roots,Show of Hands
This Is What You Came For,Calvin Harris
American Girl,Tom Petty & the Heartbreakers
"Right Here, Right Now",Jesus Jones
Things Can Only Get Better,D:Ream
Tippecanoe And Tyler Too,Alexander Coffman Ross
You And I,Celine Dion
America,Simon & Garfunkel
My Hero,Foo Fighters
Eye of the Tiger,Survivor
