song,artist
My House,Flo Rida
Send Me On My Way,Rusted Root
AKA...What A Life!,Noel Gallagher's High Flying Birds
Happiness Runs,Donovan
Bohemian Like You,The Dandy Warhols
Hero,Enrique Iglesias
Love Stinks,J. Geils Band
Lust For Life,Iggy Pop
Motorcycle Emptiness,Manic Street Preachers
Bounce Back ,Big Sean
This Land Is Your Land,Woody Guthrie
One Day,Charice
Slave To The Rhythm,Michael Jackson
I'll Take You There,The Staple Singers
The Hippopotamus,Flanders & Swann
Air on a G String,Johann Sebastian Bach
Love Is All Around,The Troggs
Scream & Shout,will.i.am
Tainted Love,Soft Cell
Monument,Röyksopp and Robyn
C'Mon Everybody,Eddie Cochran
Taxman,The Beatles
Days Go By,Dirty Vegas
Drinkee,Sofi Tukker
Sweet Dreams,Beyoncé
Bang the Drum All Day,Todd Rundgren
Into The Valley,The Skids
That's It (I'm Crazy),Sofi Tukker
Music To Watch Girls By,Bob Crewe
Here Come The Girls!,Ernie K-Doe
Come Together,The Beatles
My Name Is,Eminem
Time Of The Season,The Zombies
Higher Ground,Red Hot Chili Peppers
Give A Little Bit,Supertramp
Smooth Sailing,Queens of the Stone Age
(Something Inside) So Strong,Labi Siffre
A Nice Cup Of Tea,Binnie Hale
All Around The World,Oasis
Melissa,The Allman Brothers Band
One Week,Barenaked Ladies
Times Of Your Life,Paul Anka
Jungle,Jamie N Commons & X Ambassadors
Into Dust,Mazzy Star
Just A Little,Liberty X
Blue Monday,New Order
Don't Cha,The Pussycat Dolls
Believer,Imagine Dragons
Come Out and Play,Billie Eilish
Midnight Rider,The Allman Brothers Band
Oh Boy,Miss Li
Strange and Beautiful (I'll Put a Spell on You),Aqualung
I Am Woman,Helen Reddy
Days,The Kinks
Around The Bend,The Asteroids Galaxy Tour
Mercury Blues,Alan Jackson
Spaceman,Babylon Zoo
Beautiful World,Devo
Half the World Away,Aurora
We Built This City,Starship
Your Song,Elton John
I'm So Excited,The Pointer Sisters
Sinnerman,Nina Simone
I'm Shipping Up To Boston,Dropkick Murphys
Guts Over Fear,Eminem
Yeh Yeh,Georgie Fame
Upside Down,Diana Ross
Unstoppable,Sia
Wildest Moments,Jessie Ware
Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini,Brian Hyland
Show Me What You Got,Jay-Z
Do You Love Me,The Contours
McDonald's Girl,Dean Friedman
Haven't Met You Yet,Michael Bublé
Find My Baby,Moby
Jumpman,Drake and Future
Only Time,Enya
Tall Cool One,Robert Plant
Thunder,Imagine Dragons
Heart and Soul,T'Pau
Rock Me Gently,Andy Kim
Ice Ice Baby,Vanilla Ice
She Is Love,Parachute
Little Man,Sonny & Cher
Killing The Blues,Robert Plant and Alison Krauss
Blowin' In The Wind,Bob Dylan
Day Drinking,Little Big Town
Eminence Front,The Who
Don't Mind,Mary J. Blige
Come And Get It,John Newman
Love Is The Truth,Jack White
Palace,Sam Smith
Something New,Axwell and Ingrosso
Phenomenal,Eminem
Captain of Your Ship,Reparata & the Delrons
Try A Little Tenderness,Otis Redding
Your Touch,Blake Lewis
Maps,Maroon 5
Sound & Color,Alabama Shakes
Back To Life (However Do You Want Me),Soul II Soul
Gold,Kiiara
Jump Around,House of Pain
Good Life,OneRepublic
1812 Overture,Pyotr Il'yich Tchaikovsky
The Coffee Song,Osibisa
Ain't That A Shame,Fats Domino
Fernando,ABBA
Short Shorts,The Royal Teens
Lovin' You,Minnie Riperton
"Tonight, Tonight, Tonight",Genesis
Are You Ready?,RPA & the United Nations of Sound
Just Push Play,Aerosmith
For What It's Worth,Buffalo Springfield
Heroes,David Bowie
Ladies Night,Kool & the Gang
Space Oddity,David Bowie
Watch Out,2 Chainz
Turn Down For What,DJ Snake
Driving Home for Christmas,Chris Rea
What Doesn't Kill You (Stronger),Kelly Clarkson
Our House,Madness
Find You,Zedd
Cars,Gary Numan
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell
Hocus Pocus,Focus
I Still Call Australia Home,Peter Allen
Fancy,Reba McEntire
Wasteland,The View
I'll Stand By You,Pretenders
I'm Too Sexy,Right Said Fred
Love Rollercoaster,The Ohio Players
Down,Marian Hill
Applause,Lady Gaga
Pep Rally,Missy Elliott
It's the Same Old Song,The Four Tops
"He Ain't Heavy, He's My Brother",The Hollies
Green Onions,Booker T. & the MG's
Get Low,Dillon Francis
Legs,ZZ Top
I'm Alright,Kenny Loggins
Break My Stride,Matthew Wilder
Bom Bom,Sam and the Womp
I'm A Man,The Spencer Davis Group
Thick as a Brick,Jethro Tull
Carried Away,Passion Pit
Happy Endings (Give Yourself A Pinch),Lionel Bart
Welcome To The Jungle,Guns N' Roses
Dreams,The Cranberries
The Way That I Live,Ed Harcourt
Lady Marmalade,Labelle
Take a Walk,Passion Pit
Goodbye,Kristinia DeBarge
Sexy Lady,Jessie J
Ali in the Jungle,The Hours
