song,artist
People Alone,Randy Crawford
Red Right Hand,Nick Cave & the Bad Seeds
You Shook Me All Night Long,AC/DC
Two Steps Behind,Def Leppard
Tiny Dancer,Elton John
Jungle Love,The Time
"Symphony No. 6 in B Minor, Op. 74 ""Pathétique""",Pyotr Il'yich Tchaikovsky
Turning Japanese,The Vapors
Secret Love,Doris Day
The Show Must Go On,Queen
Roscoe,Midlake
Runaway,Del Shannon
Man In The Box,Alice in Chains
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross
This Is Your Life Timmy Lea,Sue Cheyenne
Out There,Cast of Hunchback of Notre Dame
Boléro,Maurice Ravel
Don't Stop Movin',S Club 7
Love Lives,Steven Tyler
Moonraker,Shirley Bassey
Canon In D Major,Johann Pachelbel
So Now What,The Shins
Girl From Ohio,The Outlaws
Time After Time,Cyndi Lauper
I Grieve,Peter Gabriel
I'll Fall With Your Knife,Peter Murphy
My Little Girl,Tim McGraw
Shoop,Salt-N-Pepa
I Did With You,Lady Antebellum
Moondance,Van Morrison
Death March,Mastodon
Go'Head,Rocstrong
36-24-36,Sal Mineo
Where's Your Head At?,Basement Jaxx
The Morning After,Maureen McGovern
A Woman's Gotta Be Ready For Anything,Nichelle Nichols
The Dambusters March,Central Band of the Royal Air Force
Decode,Paramore
Can't Back Down,Demi Lovato
Austin Powers,The Wondermints
Arthur's Theme (Best That You Can Do),Christopher Cross
Out Of My Mind,Duran Duran
You Should Be Dancing,Bee Gees
Breath Of Life,Florence + the Machine
Chocolate Lime Juice,Lata Mangeshkar
The Seeker,The Who
They Call The Wind Maria,Harve Presnell
Till the End,Jessie Ware
Burke and Hare,The Scaffold
Ben,Michael Jackson
Hungry Heart,Bruce Springsteen
No More Tears (Enough Is Enough),Barbra Streisand & Donna Summer
Remember Me,Miguel
The Lion Sleeps Tonight,The Tokens
Every You Every Me,Placebo
Fourth Time Around,Bob Dylan
When I Pray For You,Dan + Shay
Love More,Sharon Van Etten
Wild Hearts Run Out Of Time,Roy Orbison
Walk The Dinosaur,Was (Not Was)
Maniac,Michael Sembello
Cradle Of Love,Billy Idol
Friend Like Me,Robin Williams
Show Me The Way,Peter Frampton
Ode To Joy,Ludwig Van Beethoven
Stay Here Forever,Jewel
"If You Want To Sing Out, Sing Out",Cat Stevens
We're Not Gonna Take It,Twisted Sister
"The Cover of ""Rolling Stone""",Dr. Hook & the Medicine Show
Sisters Are Doin' It For Themselves,Eurythmics
Back in Time,Pitbull
The 'In' Crowd,Dobie Gray
Alone Again (Naturally),Gilbert O'Sullivan
Can I Get A...,Jay-Z
The Promise,When in Rome
Kingdom Come,The Civil Wars
We Don't Need Another Hero,Tina Turner
Total Eclipse Of The Heart,Bonnie Tyler
Earned It,The Weeknd
The Sound,The 1975
Best I Can,Michael Cera
Milkshake,Kelis
The Way We Were,Barbra Streisand
Get Down Tonight,KC & The Sunshine Band
Gangsta,Kehlani
Blue Collar Man (Long Nights),Styx
I Will Always Love You,Whitney Houston
Score Tonight,Cast of Grease 2
In the Jailhouse Now,Jimmie Rodgers
Instant Pleasure,Rufus Wainwright
Country Girl Blues,Brother Yusef
Man Of Constant Sorrow,The Stanley Brothers
You're Welcome,Dwayne Johnson
No One,Cold
Pretty in Pink,The Psychedelic Furs
We Are The Champions,Queen
Wherever I Go,Buckcherry
Sugar Blues,Clyde McCoy
The More I See You,Chris Montez
California,Phantom Planet
How Far I'll Go,Alessia Cara
Just Like Fire,Pink
The Wallflower,Etta James
Here I Am,Bryan Adams
Are You Ready?,RPA & the United Nations of Sound
Family Affair,Mary J. Blige
Largo al Factotum,Gioachino Rossini
What'll I Do?,Irving Berlin
Joanna,Kool & the Gang
Kung Fu Fighting,Carl Douglas
Rock Steady,Aretha Franklin
Oo-De-Lally,Roger Miller
Love Is Here to Stay,Gene Kelly
This Kiss,Carly Rae Jepsen
The One And Only,Chesney Hawkes
You Got The Silver,The Rolling Stones
When the S--t Hits the Fan,Circle Jerks
For Your Love,The Yardbirds
The Snow Miser Song,Dick Shawn
Superfly,Curtis Mayfield
The Impossible Dream,Cast of Man Of La Mancha
Holding Out For A Hero,Bonnie Tyler
The Living Proof,Mary J. Blige
I Wanna,The All-American Rejects
Safe and Sound,Taylor Swift
I Got A Name,Jim Croce
I Want To Marry A Lighthouse Keeper,Erika Eigen
The Blue Danube,Johann Strauss II
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds
Little L,Jamiroquai
Fool That I Am,Rita Coolidge
Gotham's Reckoning,Hans Zimmer
Aria da Capo,Johann Sebastian Bach
Strange Lady In Town,Frankie Laine
All for You,Hunter Hayes
Come to Daddy (Pappy Mix),Aphex Twin
The Rose,Bette Midler
Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini,Brian Hyland
If We Hold On Together,Diana Ross
Wonderful World,Sam Cooke
Street Hassle,Lou Reed
Determinate,Bridgit Mendler
Get Up (I Feel Like Being a) Sex Machine,James Brown
Idle On Parade,Anthony Newley
Humans Being,Van Halen
Highway to Hell,AC/DC
Sinner,Drowning Pool
Some Day My Prince Will Come,Adriana Caselotti
The Deadwood Stage (Whip-Crack-Away!),Doris Day
(Everything I Do) I Do It For You,Bryan Adams
Fake Plastic Trees,Radiohead
My Funny Valentine,Various
Fire,Barns Courtney
You've Got A Friend In Me,Randy Newman
Invisible,Bruce Hornsby
Cuddly Toy (Feel For Me),Roachford
Walk Right In,Rooftop Singers
Run That Race,Dan Auerbach
Best Of My Love,The Emotions
Grease,Frankie Valli
Best Day of My Life,American Authors
Partyman,Prince
There You'll Be,Faith Hill
Don't,Elvis Presley
Collision Of Worlds,Robbie Williams
A Sunday Kind Of Love,Etta James
Be Our Guest,Alan Menken
That's The Way (I Like It),KC & The Sunshine Band
I'm Shipping Up To Boston,Dropkick Murphys
Let's Hear It For The Boy,Deniece Williams
The End Is The Beginning Is The End,Smashing Pumpkins
Wonderful Remark,Van Morrison
Billy Don't Be A Hero,Bo Donaldson & the Heywoods
Smash It Up,The Damned
Monsters In Disguise,Hazel O'Connor
Space Race,Billy Preston
The Greatest Show,Hugh Jackman
That Thing You Do,The Wonders
The Thieving Magpie Overture,Gioachino Rossini
Hammer Smashed Face,Cannibal Corpse
Something I Need,OneRepublic
Makin' Whoopie,Eddie Cantor
Where The Boys Are,Connie Francis
For the Dancing and the Dreaming,"Gerard Butler, Craig Ferguson & Mary Jane Wells"
Home,Machine Gun Kelly
The Pusher,Steppenwolf
I Love You,Climax Blues Band
Rock Around The Clock,Bill Haley
Explain It To Me,Liz Phair
Get Off My Back,Bryan Adams
History Repeating,Propellerheads
Falling Slowly,Glen Hansard & Marketa Irglova
Glory Box,Portishead
Nowhere Fast,Fire Inc.
Thank God It's Friday,Love and Kisses
Death Cab for Cutie,Bonzo Dog Doo Dah Band
Sixty Minute Man,The Dominoes
The Yellow Rose Of Texas,Mitch Miller
Thieves In The Temple,Prince
Love Theme From The Godfather,Andy Williams
Addams Groove,MC Hammer
Made In Dagenham,Sandie Shaw
Django,Rocky Roberts
Livin' La Vida Loca,Ricky Martin
Raindrop Prelude,Frédéric Chopin
Listen,Beyoncé
99 Luftballons,Nena
For Me And My Gal,Edgar Leslie
Tarzan Boy,Baltimora
Me Myself I,Joan Armatrading
Ghost Town,The Specials
Tangerine,Led Zeppelin
Take My Breath Away,Berlin
Burning Bridges,Mike Curb Congregation
Celebrate,Whitney Houston & Jordin Sparks
I Can Fly,Lana Del Rey
Home,Michael Bublé
Sisters of Mercy,Leonard Cohen
Love Train,The O'Jays
Say,John Mayer
Let's Play Two,Gin Blossoms
Mean Woman Blues,Elvis Presley
Silver Lining (Crazy Bout You),Jessie J
Because He Loves Me,Lily Morris
Twist Of Fate,Olivia Newton-John
I'll Remember,Madonna
A Quick One While He's Away,The Who
All of the Stars,Ed Sheeran
Mona Lisa,The Lonely Island
I Talk To The Trees,Clint Eastwood
The Weight,The Band
Who Made Who,AC/DC
Wonderful Tonight,Eric Clapton
The Greatest Love Of All,Whitney Houston
I Disappear,Metallica
Love Stinks,J. Geils Band
Undun,The Guess Who
Grew up at Midnight,The Maccabees
This Girl Gets Around,Sammy Hagar
Rainbow,Sia
Down Deep Inside,Donna Summer
Torment,Marilyn Lovell
Here's To You,Joan Baez
Dead Man's Party,Oingo Boingo
Roll Over Beethoven,Chuck Berry
Throw The Jew Down The Well,Sacha Baron Cohen
Can't Help Falling In Love,Elvis Presley
Holdin' Out,The Lumineers
Never Say Never,Justin Bieber
The Emperor Of Lancashire,George Formby
Once Upon a Dream,Mary Costa and Bill Shirley
Same Song,Digital Underground
Inner City Blues (Make Me Wanna Holler),Marvin Gaye
You Can Get It If You Really Want,Jimmy Cliff
Be For Real,The Afghan Whigs
Behind Closed Doors,Charlie Rich
Something He Can Feel,Aretha Franklin
Everybody Get Dangerous,Weezer
Coming Around Again,Carly Simon
Someday,The Black Eyed Peas
Dead Flowers,The Rolling Stones
I Started A Joke,Bee Gees
Just The Two Of Us,Grover Washington Jr. with Bill Withers
La Bamba,Ritchie Valens
I Me Mine,The Beatles
"634-5789 (Soulsville, U.S.A.)",Wilson Pickett
Let's Get It On,Marvin Gaye
To The Sky,Owl City
Gigi,Lerner & Loewe
Wild Is the Wind,David Bowie
Shakedown,Bob Seger
Don't Fence Me In,Cole Porter
Oh My Love,John Lennon
