song,artist
This Is Not Over Yet,Brent Carver
Love For Sale,Cole Porter
"Spend, Spend, Spend",Barbara Dickson
Tomorrow,Cast of Annie
Bali Ha'i,Cast of South Pacific
In My Defence,Freddie Mercury
I Hate Men,"Cast of Kiss Me, Kate"
In Monterey,Billie Burke
Parisian Pierrot,Noël Coward
Consider Yourself,Cast of Oliver!
Sodomy,Cast of Hair
The Barber And His Wife,Cast of Sweeney Todd
Everything Stops For Tea,Jack Buchanan
Old Devil Moon,Cast of Finian's Rainbow
Stronger,Kiesza
"Hey, Hey, Hey, Hey!",The Scottsboro Boys
I Enjoy Being A Girl,Doris Day
Goodbye,Cast of The Producers
Little Shop Of Horrors,Cast of The Little Shop Of Horrors
No Place Like London,Cast of Sweeney Todd
I'm Free,The Who
History Has Its Eyes On You,John Legend
"Great, Great Welfare State",Cast of Come Spy With Me
Oh Mein Papa,Eddie Calvert
"Run, Freedom, Run!",Cast of Urinetown
This Side Of The Sky,Cast of Stephen Ward the Musical
"Everyone Is Very, Very Nervous",Cast of London Road
Everything Old Is New Again,Peter Allen
Tell Me on a Sunday,Marti Webb
Every Time We Say Goodbye,Ella Fitzgerald
Buffalo Bill,Cast of Annie Get Your Gun
Human Sacrifice,Cast of Stephen Ward the Musical
A Room With A View,Noël Coward
Breakfast At Tiffany's,Mary Tyler Moore
"A Cup Of Coffee, A Sandwich And You",Gertrude Lawrence
Cell Block Tango,Cast of Chicago
It Has All Begun,Cast of I And Albert
Kids,Cast of Bye Bye Birdie
So Much Better,Cast of Legally Blonde
Doin' What Comes Natur'lly,Ethel Merman
Hair,Cast of Hair
The Boy Friend,Cast of The Boy Friend
No Good Deed,Idina Menzel
Old-Fashioned Garden,Cole Porter
Lichtenburg,Irving Berlin
Something About A Sailor,Noël Coward
The Harvard Variations,Cast of Legally Blonde
The Joker,Anthony Newley
Luck Be A Lady,Frank Sinatra
My Funny Valentine,Various
Take It Like A Man,Cast of Legally Blonde
I Got it Bad (And That Ain't Good),Duke Ellington
The Party's Over,Judy Holliday
Somewhere That's Green,Cast of The Little Shop Of Horrors
Commencing In Chattanooga,The Scottsboro Boys
People Will Say We're In Love,Cast of Oklahoma!
You Need Hands,Max Bygraves
I Know Him So Well,Elaine Paige & Barbara Dickson
The Widow At Windsor,Cast of I And Albert
Roxie,Cast of Chicago
Go Back Home,The Scottsboro Boys
Wouldn't It Be Loverly?,Julie Andrews
Let's Do It,Cole Porter
Strike Up The Band,George Gershwin
The Lambeth Walk,Cast of Me And My Girl
Garforth,"Cast of Spend, Spend, Spend"
Get Happy,Judy Garland
All I Care About,Cast of Chicago
Little Soldier Say Goodnight,Dave Sampson And The Hunters
It Depends On What You Pay,Cast of The Fantasticks
Rosalie,Cole Porter
Make 'Em Laugh,Donald O'Connor
It's The Hard Knock Life,Cast of Annie
Leave It Alone,Cast of I And Albert
On My Street,Cast of Andy Capp The Musical
Black-Hearted Woman,Cast of Stephen Ward the Musical
Found/Tonight,Lin-Manuel Miranda
Holly Golightly,Richard Chamberlain
Oklahoma!,Cast of Oklahoma!
I Guess I'll Miss the Man,The Supremes
I've Got Rings On My Fingers,Blanche Ring
Find My Way/Finale,Cast of Legally Blonde
On My Own,Samantha Barks
Green Finch and Linnet Bird,Cast of Sweeney Todd
He's My Man,Kym Marsh
Many A New Day,Cast of Oklahoma!
On The Street Where You Live,Vic Damone
She's So Beautiful,Cliff Richard
Superstar,Murray Head
You Oughta Be In Pictures,Rudy Vallée
You Can't Get A Man With A Gun,Cast of Annie Get Your Gun
Mistletoe And Wine,Cliff Richard
Eleven Days,David Byrne & Fatboy Slim
A Woman Is Only A Woman (But A Good Cigar Is A Smoke),Cast of Miss Dolly Dollars
Mushnik And Son,Cast of The Little Shop Of Horrors
I'm Black / Colored Spade,Cast of Hair
Bend And Snap,Cast of Legally Blonde
Come On Up To My Office,Brent Carver
Come Spy With Me,Cast of Come Spy With Me
A Bachelor Gay,Various
I'm On My Way,Cast of Paint Your Wagon
Somewhere,Barbra Streisand
The Best Things In Life Are Free,Jack Hylton
I've Still Got My Health,Cole Porter
As Time Goes By,"Arthur ""Dooley"" Wilson"
The Lady is a Tramp,Mitzi Green
The King Of Broadway,Cast of The Producers
The Hostess With The Mostes' On The Ball,Ethel Merman
Indian Love Call,Slim Whitman
She Used to Be Mine,Sara Bareilles
Poor Thing,Cast of Sweeney Todd
The Night They Invented Champagne,Leslie Caron
"Words, Words, Words",Cast of The Witches Of Eastwick
