song,artist
Bout to Blow,Empire Cast
Cosmic Love,Florence + the Machine
Smuggler's Blues,Glenn Frey
Different Drum,Linda Ronstadt
Fresh Feeling,Eels
The Show,Lenka
Land Of Hope and Glory,Edward Elgar
Turn Up The Radio,Autograph
What I Did for Love,David Guetta
C'mon C'mon,The Von Bondies
At This Moment,Billy Vera & the Beaters
Redemption Song,Bob Marley & the Wailers
In The Heat Of The Night,Ray Charles
We Like To Party (The Vengabus),Vengaboys
We Do What We're Told (Milgram's 37),Peter Gabriel
Time Warp,Rocky Horror Picture Show Cast Ensemble
Just a Gigolo,Bing Crosby
Lay Your Hands On Me,Peter Gabriel
One Way Or Another,Blondie
I'm a Woman,Peggy Lee
California Bound,Carolina Liar
Brothers In Arms,Dire Straits
It's Raining Men,The Weather Girls
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross
American Girl,Tom Petty & the Heartbreakers
Dream Weaver,Gary Wright
Get Happy,Judy Garland
Some Devil,Dave Matthews
Dad's Gonna Kill Me,Richard Thompson
You Gotta Be,Des'ree
Honey,Robyn
Bye Bye Love,The Cars
Evil,Interpol
One,Three Dog Night
All For One,Five for Fighting
You Oughta Be In Pictures,Rudy Vallée
Low Life,X Ambassadors
Have You Ever Seen The Rain?,Creedence Clearwater Revival
Miniature Disasters,KT Tunstall
The Bear With The Maiden Fair,The Hold Steady
The Beast In Me,Johnny Cash
Slippery When Wet,Commodores
It Might Be You,Stephen Bishop
It's Not,Aimee Mann
Time In A Bottle,Jim Croce
Mephisto And Kevin,Primus
The Payback,James Brown
You're A Friend Of Mine,Clarence Clemons
Broken,Lifehouse
Dancing In The Moonlight,King Harvest
I'll Be,Edwin McCain
State Trooper,Bruce Springsteen
Sometimes I Feel Like A Motherless Child,Paul Robeson
You Got The Love,Source featuring Candi Staton
No Apologies,Empire Cast
Pride (In The Name Of Love),U2
Beauty in the World,Macy Gray
Jeepers Creepers,Louis Armstrong
WIN,Jay Rock
We Will Rock You,Queen
Easy Street,The Collapsable Hearts Club
Tea In The Sahara,The Police
Fitzpleasure,Alt-J
Eli's Coming,Three Dog Night
Don't Stand So Close To Me,The Police
All Of Me,Frank Sinatra
Bohemian Like You,The Dandy Warhols
Lost Without You,Freya Ridings
The First Day of My Life,Bright Eyes
Breathe Me,Sia
Back At One,Brian McKnight
Manhattan From The Sky,Kate Voegele
Hate & Love,Jack Savoretti
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin
My Own Worst Enemy,Lit
Smooth Operator,Sade
Lasso,Phoenix
Never Should Have,Ashanti
Whatta Man,Salt-N-Pepa
All Summer Long,The Beach Boys
"Oh My Darling, Clementine",Traditional
Loser Like Me,Glee
Opposites Attract,Paula Abdul
Hoppipolla,Sigur Rós
Scarlet Town,Bob Dylan
Beautiful World,Colin Hay
She Chose Me,Randy Newman
Hail to the Geek,Deaf Pedestrians
This Way,Jewel
Up Around the Bend,Creedence Clearwater Revival
Oats In the Water,Ben Howard
Believe It or Not,Joey Scarbury
Teenage Talk,St. Vincent
Beautiful Day,U2
Trouble,Ray LaMontagne
Pavlov's Bell,Aimee Mann
Show Me Love,Laura Mvula
Walk The Dinosaur,Was (Not Was)
Rid Of Me,PJ Harvey
Snowbird,Anne Murray
Superman,Lazlo Bane
Thank God I'm A Country Boy,John Denver
Let England Shake,PJ Harvey
PretzelBodyLogic,Prince
Way Down We Go,Kaleo
Risk,Alexandra Savior
Shining Light,Ash
Love Crime,Siouxsie Sioux & Brian Reitzell
If I Ruled the World,Big Time Rush
Milkshake,Kelis
Alone On Christmas Day,Phoenix
I Love It,Icona Pop
Big Man On Mulberry Street,Billy Joel
Hand In My Pocket,Alanis Morissette
How Do You Talk To An Angel,Jamie Walters
Sixteen Tons,Tennessee Ernie Ford
Midnight City,M83
New York Raining,Charles Hamilton
Silver Springs,Fleetwood Mac
Chances Are,Johnny Mathis
Think Of Laura,Christopher Cross
Family Affair,Mary J. Blige
Rocky Top,Osborne Brothers
Exit Music (For A Film),Radiohead
Largo al Factotum,Gioachino Rossini
All We Ever Knew,The Head and the Heart
Cheek To Cheek,Fred Astaire
Dancing On My Own,Robyn
Blame It On The Rain,Milli Vanilli
Breathe (2 AM),Anna Nalick
Love Letters In The Sand,Pat Boone
Que Onda Guero,Beck
Breathe,Faith Hill
Sound & Color,Alabama Shakes
Reach Out of the Darkness,Friend & Lover
Deck The Halls,Traditional
Miracle,Chvrches
No Man's Woman,Sinéad O'Connor
Rocket Man,Elton John
Shake Your Groove Thing,Peaches & Herb
My Way,Frank Sinatra
Staring At The Sun,The Offspring
Memories,Elvis Presley
Songbird,Kenny G
Shattered (Turn The Car Around),O.A.R.
"Who Do You Think You're Kidding, Mr Hitler?",Bud Flanagan
Why Can't I?,Liz Phair
Simon Smith And His Amazing Dancing Bear,Randy Newman
Ain't No Mountain High Enough,Diana Ross
Whistle While You Work,Adriana Caselotti
Bust A Move,Young MC
Me & You,George Ezra
The Rose,Bette Midler
Shark In The Water,V.V. Brown
Raining Blood,Slayer
Two Princes,Spin Doctors
Why Ya Wanna,Jana Kramer
Waggle Dance Song,Green Balloon Club
Friends and Lovers,Gloria Loring and Carl Anderson
Say You Won't Let Go,James Arthur
Stompa,Serena Ryder
"You, My Everything",Ellie Goulding
Million Dollars,Miranda Cosgrove
Have A Nice Day,Stereophonics
This Woman's Work,Kate Bush
It Had To Be You,Frank Sinatra
Day is Gone,Noah Gundersen
Don't Dream It's Over,Crowded House
Axel F,Harold Faltermeyer
My Blue Heaven,Fats Domino
Fire,Barns Courtney
4Ever,The Veronicas
Crush With Eyeliner,R.E.M.
He Could Be the One,Hannah Montana
Human,Rag'n'Bone Man
Everybody Wants To Rule The World,Tears for Fears
It's Only Life,Kate Voegele
I'm Afraid Of Americans,David Bowie
Brandy (You're a Fine Girl),Looking Glass
Don't,Elvis Presley
A Sunday Kind Of Love,Etta James
Bring It On Home To Me,Sam Cooke
End Of The Affair,Ben Howard
"Say You, Say Me",Lionel Richie
That's The Way (I Like It),KC & The Sunshine Band
TiK ToK,Kesha
Precious Illusions,Alanis Morissette
Hello It's Me,Todd Rundgren
Wonderwall,Oasis
You Belong To The City,Glenn Frey
Super Rich Kids,Frank Ocean
Love Is,Vanessa Williams & Brian McKnight
It's Your Life,Francesca Battistelli
The Sky Is Broken,Moby
21 Things I Want In A Lover,Alanis Morissette
Only Fooling Myself,Kate Voegele
Hotel California,Eagles
Blackbird,The Beatles
We Might Fall,Ryan Star
Walk Out On Me,Empire Cast
Poison & Wine,The Civil Wars
Flower,Liz Phair
Hands Clean,Alanis Morissette
Poke,Frightened Rabbit
Space Race,Billy Preston
With Or Without You,U2
Bloodsports,Drenge
Counting Blue Cars,Dishwalla
Rather Be,Clean Bandit
Moment In The Sun,Clem Snide
You Dropped a Bomb on Me,The Gap Band
An Ending (Ascent),Brian Eno
Blah Blah Blah,Kesha
Wendy's C-nt Song,South Park
"(What's So Funny 'Bout) Peace, Love, and Understanding",Elvis Costello
Hallelujah,Gin Wigmore
Little Bit O' Soul,The Music Explosion
Fernando,ABBA
Search And Destroy,The Stooges
The Big Bang Theory,Barenaked Ladies
Big Girl (You Are Beautiful),Mika
Do Unto Others,Elastic Band
Whiskey,Jana Kramer
We Belong,Pat Benatar
Home,DAUGHTRY
Take A Hint,Victorious Cast
The Yellow Rose Of Texas,Mitch Miller
Cross Over the Bridge,Patti Page
1812 Overture,Pyotr Il'yich Tchaikovsky
Feelings,Morris Albert
Greatest Love Story,Lanco
Travelin' On,Norah Jones
Carry On Wayward Son,Kansas
Whatcha See Is Whatcha Get,The Dramatics
A Perfect Day Elise,PJ Harvey
Hollywood's Not America,Ferras
For Me And My Gal,Edgar Leslie
She Can't Find Her Keys,Paul Petersen
Be Be Your Love,Rachael Yamagata
Feels So Good,Chuck Mangione
Yours,Ella Henderson
Yellow Ledbetter,Pearl Jam
The Champion,Carrie Underwood
We Gotta Get Out Of This Place,The Animals
April Love,Pat Boone
Don't Go,Rae Morris
Foundations,Kate Nash
Beekeeper's Daughter,The All-American Rejects
It Must Be Done,Pete Townshend
The Stripper,David Rose & His Orchestra
Check My Brain,Alice in Chains
Home,Foo Fighters
You Might Think,The Cars
Walking On Sunshine,Katrina & the Waves
I Know What Boys Like,The Waitresses
Absolutely (Story of a Girl),Nine Days
Into The Great Wide Open,Tom Petty & the Heartbreakers
Life For Rent,Dido
Shotgun,Christina Aguilera
I Turn My Camera On,Spoon
Hometown Glory,Adele
Hanging On,Ellie Goulding
Handsome Johnny,Richie Havens
Hold On,Wilson Phillips
If You Could Read My Mind,Gordon Lightfoot
Wavelength,Van Morrison
Love Hangover,Diana Ross
Miracle Mile,Cold War Kids
Dumb Love,Sean Kingston
High Hopes,Bruce Springsteen
I Feel Pretty,West Side Story Cast Ensemble
The Big Fellah,Black 47
Two of Hearts,Stacey Q
Simplethings,Miguel
Fight Song,Rachel Platten
Elegantly Wasted,INXS
True,Spandau Ballet
Don't Let Me Fall,Lenka
Romantic,Karyn White
The First Noel,Traditional
Go,Grimes
Don't Speak,No Doubt
Venus,Frankie Avalon
Dead Man's Curve,Jan & Dean
Tuesday's Gone,Lynyrd Skynyrd
Suddenly I See,KT Tunstall
Young Folks,Peter Bjorn and John
Highway Star,Deep Purple
Let's Get It On,Marvin Gaye
Erotica,Madonna
Born To Try,Delta Goodrem
Help I'm Alive,Metric
Pocketful Of Sunshine,Natasha Bedingfield
Don't Fence Me In,Cole Porter
Your Love is a Drug,Leighton Meester
23,Blonde Redhead
Let Me Hear You Scream,Ozzy Osbourne
Bloom,Radiohead
Get on Your Feet,Gloria Estefan
Come Join The Murder ,The White Buffalo & The Forest Rangers
Sensitive Kid,Cold War Kids
Song To The Siren,Tim Buckley
Ship Of Fools,World Party
Don't Give Up,Peter Gabriel
Cold Hard Bitch,Jet
Be Yourself,Audioslave
Minds Without Fear,Imogen Heap
Welcome To The Machine,Pink Floyd
Rock And Roll All Nite,Kiss
Tracy,The Cuff Links
Separate Ways (Worlds Apart),Journey
Show And Tell,Al Wilson
Goodbye To You,Michelle Branch
Drip Drop,Empire Cast
Baronet Oswald Ernald Mosley,Not The Nine O'Clock News
Into Dust,Mazzy Star
I Wanna Be Sedated,Ramones
Arsonist's Lullabye,Hozier
Bitch,Meredith Brooks
TV Party,Black Flag
Happy Together,The Turtles
Will It Go Round In Circles,Billy Preston
Can't Shake You ,Gloriana
Save Tonight,Eagle-Eye Cherry
The Walker,Fitz and the Tantrums
Afternoon Delight,Starland Vocal Band
Centuries,Fall Out Boy
You're Not Sorry,Taylor Swift
Don't Stop Believin',Journey
Sadie Hawkins Dance,Relient K
Upside Down,Diana Ross
Missing You,John Waite
Rise,Herb Alpert
Sweet Silver Lining,Kate Voegele
All I Want,Kodaline
Stranger On The Shore,Acker Bilk
Blurred Lines,Robin Thicke
Rio,Netsky
Precious,Annie Lennox
Believer,Imagine Dragons
No Shopping,French Montana
Man Smart (Woman Smarter),Harry Belafonte
100 Years,Five for Fighting
Ace of Spades,Motörhead
Christmas Time Is Here,Vince Guaraldi Trio
Hollywood Swinging,Kool & the Gang
Surrender,Cheap Trick
Fix You,Coldplay
Where Are You Now? ,Royal Blood
Frozen,Madonna
I Can Feel a Hot One,Manchester Orchestra
Good Life,OneRepublic
In The Navy,The Village People
I Think I Love You,The Partridge Family
The Old Rugged Cross,Johnny Cash
L8 CMMR,Lily Allen
Desperado,Eagles
Ready To Go ,Empire Cast
Rock and Roll,Eric Hutchinson
Fade Into You,Sam Palladio and Clare Bowen
Baby Blue,Badfinger
Bad Day,R.E.M.
I Wish,Stevie Wonder
Beggin' On Your Knees,Victorious Cast
Drug Dealer,Macklemore
Spaceman,The Killers
Criminal,Fiona Apple
Bang the Drum All Day,Todd Rundgren
Television,Adele Dixon
Hooked On A Feeling,B.J. Thomas
Beyond The Sea,Bobby Darin
Fallinlove2nite,Prince
Together Forever,Rick Astley
Tom Sawyer,Rush
Winter,Joshua Radin
I'll Count the Days,Rebecca Ferguson
The Touch,Stan Bush
Share Your Love With Me,Aretha Franklin
Don't Come Home A-Drinkin' (With Lovin' on Your Mind),Loretta Lynn
Don't Bring Lulu,Dorothy Provine
In My World,Anthrax
On the Radio,Donna Summer
Come Sail Away,Styx
Dream,Priscilla Ahn
Have You Never Been Mellow,Olivia Newton-John
In The Air Tonight,Phil Collins
It's All In The Game,Tommy Edwards
Wake Me Up Before You Go-Go,Wham!
River,Leon Bridges
Welcome Christmas,Dr. Seuss
Bad Case of Loving You,Robert Palmer
Need Freedom,Empire Cast
BRAINS!,Voltaire
Free Your Mind,En Vogue
Make It In America,Victorious Cast
Remember The Music,Jennifer Hudson
The Stroll,The Diamonds
Shiny Happy People,R.E.M.
Toyland,Doris Day
Centerfold,J. Geils Band
Extraordinary,Liz Phair
I Saw Mommy Kissing Santa Claus,Jimmy Boyd
Up Pompeii,Frankie Howerd
Girl,Davy Jones
The Life Of Riley,The Lightning Seeds
Whiskey River,Willie Nelson
50ft Queenie,PJ Harvey
Cherish,The Association
Sight Of The Sun,Fun.
Standing On The Corner,The Four Lads
The Final Countdown,Europe
Alison,Elvis Costello
Night Time Is The Right Time,Roosevelt Sykes
The Spam Song,Monty Python
Fields of Gold,Sting
I Love A Parade,Harry Richman
Spanish Flea,Herb Alpert
Alley Cat,Bent Fabric
I Am Woman,Helen Reddy
Here You Come Again,Dolly Parton
Let the Good Times Roll,Shirley & Lee
Burning Down the House,Talking Heads
You Are My Sunshine,Ray Charles
Rock You Like A Hurricane,Scorpions
Scare Easy,Mudcrutch
Blame It On The Bossa Nova,Eydie Gorme
Own the Night,Chaka Khan
Show Me What I'm Looking For,Carolina Liar
I'm Not Over,Carolina Liar
Hum Along & Dance (Gotta Get Down) ,Janelle Monáe
End of the Beginning,Black Sabbath
Johnny Angel,Shelley Fabares
(Nice Dream),Radiohead
Institutionalized,Suicidal Tendencies
Flinch,Alanis Morissette
Forever Young,Alphaville
Karma Chameleon,Culture Club
Somewhere,Jimi Hendrix
Yakety Sax,Boots Randolph
Learn to Fly,Foo Fighters
Miserable,Lit
City Is Ours,Big Time Rush
Dauðalogn,Sigur Rós
At My Most Beautiful,R.E.M.
Vacation,The Go-Go's
Don't,Rachael Yamagata
Everything,Lifehouse
