song,artist
Gigantic,Pixies
Won't Get Fooled Again,The Who
This Fire,Franz Ferdinand
"Slow Night, So Long",Kings of Leon
Running Scared,Roy Orbison
My Friends Over You,New Found Glory
Creatures (For a While),311
Black Label,Lamb of God
Piano Man,Billy Joel
Get Down And Get With It,Slade
Enter Sandman,Metallica
25 Or 6 To 4,Chicago
Free Bird,Lynyrd Skynyrd
Dream On,Aerosmith
Seven Nation Army,The White Stripes
Loch Lomond,Runrig
Rock And Roll All Nite,Kiss
Would You Love A Monsterman?,Lordi
The Party's Over,Judy Holliday
Make You Mine,High Valley
Metal & Dust ,London Grammar
Edge Of Seventeen,Stevie Nicks
Tush,ZZ Top
Holes,Passenger
Songbird,Fleetwood Mac
Strange Fruit,Billie Holiday
Hurt,Nine Inch Nails
School's Out,Alice Cooper
Meet On The Ledge,Fairport Convention
Ride My See-Saw,The Moody Blues
Last Resort,Papa Roach
Electricity,OMD
Mandrake Root,Deep Purple
Phoenix,Wishbone Ash
Can't Help Falling In Love,Elvis Presley
