song,artist
Game On,Pitbull
We Are One (Ole Ola) ,Pitbull
Wavin' Flag,K'NAAN
All Together Now,The Farm
The World Is Ours,David Correy
Dare (La La La),Shakira
Colors,Jason Derulo
Gloryland,Daryl Hall
Noble England,Rik Mayall
Three Lions,The Lightning Seeds
Tatu Bom de Bola,Arlindo Cruz
Shout For England,Dizzee Rascal and James Corden
Put 'Em Under Pressure,U2
Oh Africa,Akon
Sign of a Victory,R. Kelly
The Cup Of Life,Ricky Martin
The Game,Kelly Rowland
Vida,Ricky Martin
Dar Um Jeito (We Will Find A Way),Santana & Wyclef
Waka Waka (This Time For Africa),Shakira and Freshlyground
Live It Up,Nicky Jam
Vindaloo,Fat Les
World In Motion,Englandneworder
